"question_date","num_questions_with_en_response"
"2019-07-12","4995"
"2019-07-13","4723"
"2019-07-14","3052"
"2019-07-15","3803"
"2019-07-16","4481"
"2019-07-17","3904"
"2019-07-18","11952"
"2019-07-19","6844"
"2019-07-20","4395"
"2019-07-21","3992"
"2019-07-22","3852"
"2019-07-23","9332"
"2019-07-24","18114"
"2019-07-25","14685"
"2019-07-26","11128"
"2019-07-27","13669"
"2019-07-28","12716"
"2019-07-29","8608"
"2019-07-30","8069"
"2019-07-31","7134"
"2019-08-01","6414"
"2019-08-02","6034"
"2019-08-03","5077"
"2019-08-04","5028"
"2019-08-05","4588"
"2019-08-06","7533"
"2019-08-07","6630"
"2019-08-08","6639"
"2019-08-09","5341"
"2019-08-10","3982"
"2019-08-11","3240"
"2019-08-12","8830"
"2019-08-13","32488"
"2019-08-14","17957"
"2019-08-15","18358"
"2019-08-16","14698"
"2019-08-17","9820"
"2019-08-18","8910"
"2019-08-19","7889"
"2019-08-20","6577"
"2019-08-21","5715"
"2019-08-22","6627"
"2019-08-23","3885"
"2019-08-24","3076"
"2019-08-25","3251"
"2019-08-26","2595"
"2019-08-27","16794"
"2019-08-28","53424"
"2019-08-29","37172"
"2019-08-30","29464"
"2019-08-31","21787"
"2019-09-01","13348"
"2019-09-02","12597"
"2019-09-03","10608"
"2019-09-04","8508"
"2019-09-05","7110"
"2019-09-06","6008"
"2019-09-07","5713"
"2019-09-08","4713"
"2019-09-09","4639"
"2019-09-10","4981"
"2019-09-11","5496"
"2019-09-12","9156"
"2019-09-13","5975"
"2019-09-14","4405"
"2019-09-15","4685"
"2019-09-16","4350"
"2019-09-17","3657"
"2019-09-18","3573"
"2019-09-19","4995"
"2019-09-20","5155"
"2019-09-21","4216"
"2019-09-22","3691"
"2019-09-23","2922"
"2019-09-24","3175"
"2019-09-25","4176"
"2019-09-26","15447"
"2019-09-27","43545"
"2019-09-28","23925"
"2019-09-29","22732"
"2019-09-30","14808"
"2019-10-01","9923"
"2019-10-02","9242"
"2019-10-03","8017"
"2019-10-04","6322"
"2019-10-05","3606"
"2019-10-06","3621"
"2019-10-07","3037"
"2019-10-08","3163"
"2019-10-09","3289"
"2019-10-10","6295"
"2019-10-11","4396"
"2019-10-12","4087"
"2019-10-13","3589"
"2019-10-14","3039"
"2019-10-15","3022"
"2019-10-16","3081"
"2019-10-17","5787"
"2019-10-18","4526"
"2019-10-19","3663"
"2019-10-20","3439"
"2019-10-21","3355"
"2019-10-22","4152"
"2019-10-23","4063"
"2019-10-24","8495"
"2019-10-25","17737"
"2019-10-26","13862"
"2019-10-27","10758"
"2019-10-28","6704"
"2019-10-29","7217"
"2019-10-30","5047"
"2019-10-31","5189"
"2019-11-01","4256"
"2019-11-02","3122"
"2019-11-03","2840"
"2019-11-04","4203"
"2019-11-05","2725"
"2019-11-06","3026"
"2019-11-07","4899"
"2019-11-08","5165"
"2019-11-09","3671"
"2019-11-10","2908"
"2019-11-11","2263"
"2019-11-12","2908"
"2019-11-13","2303"
"2019-11-14","2829"
"2019-11-15","3277"
"2019-11-16","2696"
